schemaVersion,transformId,physicalInputGrams,infrastructureInputGrams,physicalOutputGrams,byproductGrams,declaredLossGrams,lossKind,inputEqualsDisposition,evidence,reviewStatus
v27.mass.transform.1,recipe:fermented-liquor,700,350,1000,0,50,FermentationGasLoss,true,Two malt measures plus 0.7 clean-water units produce two fermented-liquor measures with 50 g explicit atmospheric fermentation-gas loss.,reviewed-audit-only
v27.mass.transform.1,recipe:fermented-pickle,1400,0,900,500,0,None,true,Two brined portions and one vinegar measure produce two drained pickle servings and 1.0 unit of discarded-brine wastewater.,reviewed-audit-only
v27.mass.transform.1,recipe:fermented-vinegar,500,350,800,0,50,FermentationGasLoss,true,One fermented-liquor measure and 0.7 clean-water units produce two vinegar measures with 50 g explicit atmospheric fermentation-gas loss.,reviewed-audit-only
v27.mass.transform.1,recipe:fresh-curd,450,0,450,0,0,None,true,One drained-curd batch is divided into two fresh-curd servings with exact physical mass conservation.,reviewed-audit-only
v27.mass.transform.1,recipe:grain-porridge,2100,125,2172,50,3,MoistureEvaporation,true,"6 grain units plus 0.25 clean-water units produce 6 portions, 0.1 wastewater units and 3 g cooking loss.",reviewed-audit-only
v27.mass.transform.1,recipe:grape-juice,750,50,750,25,25,MoistureEvaporation,true,"Three night-grape clusters plus 0.1 clean-water units produce two grape-juice measures, 0.05 wastewater units and 25 g process loss.",reviewed-audit-only
v27.mass.transform.1,recipe:grape-syrup,375,0,350,0,25,MoistureEvaporation,true,One grape-juice measure concentrates into two syrup servings with 25 g explicit moisture loss.,reviewed-audit-only
v27.mass.transform.1,recipe:hay-feed,590,0,588,0,2,MoistureEvaporation,true,Three grass-and-straw sheaves and one grain measure produce three hay rations with 2 g explicit drying loss.,reviewed-audit-only
v27.mass.transform.1,recipe:lavish-meat,2300,150,2000,125,325,MoistureEvaporation,true,"Two raw meat cuts, one cheese portion, two night-grape clusters and 0.3 clean-water units produce two lavish meals, 0.25 wastewater units and 325 g cooking moisture loss.",reviewed-audit-only
v27.mass.transform.1,recipe:lavish-vegan,2300,150,1800,125,525,MoistureEvaporation,true,"Two flour measures, one syrup measure, two mushroom baskets, one ember-root bundle and 0.3 clean-water units produce two lavish-vegan servings, 0.25 wastewater units and 125 g cooking evaporation.",reviewed-audit-only
v27.mass.transform.1,recipe:malt,700,0,700,0,0,None,true,Two grain measures produce two malt measures without untracked physical mass loss.,reviewed-audit-only
v27.mass.transform.1,recipe:malt-porridge,350,750,1100,0,0,None,true,One malt measure plus 1.5 clean-water units produce two full-meal porridge servings without untracked loss.,reviewed-audit-only
v27.mass.transform.1,recipe:material:granulated-powder,5300,0,5100,0,200,MillingByproduct,true,Two black-powder lots and one paper lot are screened into six 850 g granulated-powder charges with 200 g of declared paper trim and uncollected powder dust.,reviewed-audit-only
v27.mass.transform.1,recipe:meat-pie,1150,0,1150,0,0,None,true,One dough portion and one seasoned-filling portion produce two meat-pie servings without untracked physical mass loss.,reviewed-audit-only
v27.mass.transform.1,recipe:medical-vial,900,0,900,0,0,None,true,One 900 g iron ingot is forged into thirty reusable 30 g medical vials without untracked physical mass loss.,reviewed-audit-only
v27.mass.transform.1,recipe:milling-flour,1050,0,1000,0,50,MillingByproduct,true,Three grain measures produce two flour measures with 50 g explicitly uncollected bran and milling residue.,reviewed-audit-only
v27.mass.transform.1,recipe:mushroom-soup,500,125,570,50,5,MoistureEvaporation,true,"Two mushroom baskets plus 0.25 clean-water units produce two soup portions, 0.1 wastewater units and 5 g cooking loss.",reviewed-audit-only
v27.mass.transform.1,recipe:night-spirit,1050,0,900,0,150,MoistureEvaporation,true,Two young-wine measures and one concentrated-syrup measure age into two night-spirit servings with 150 g explicit process evaporation.,reviewed-audit-only
v27.mass.transform.1,recipe:night-wine,700,0,650,0,50,MoistureEvaporation,true,Two young-wine measures age into two night-wine servings with 50 g explicit cask evaporation.,reviewed-audit-only
v27.mass.transform.1,recipe:preserved-vegetable,1350,0,1100,0,250,MoistureEvaporation,true,"One brined portion, one washed portion and one vinegar measure produce two preserved-vegetable meals with 250 g explicit cooking evaporation.",reviewed-audit-only
v27.mass.transform.1,recipe:roasted-meat,1400,0,1260,0,140,MoistureEvaporation,true,Two raw meat cuts produce two roasted portions with 140 g cooking moisture loss.,reviewed-audit-only
v27.mass.transform.1,recipe:root-stew,900,125,960,50,15,MoistureEvaporation,true,"Two ember-root harvest bundles plus 0.25 clean-water units produce two stew portions, 0.1 wastewater units and 15 g cooking loss.",reviewed-audit-only
v27.mass.transform.1,recipe:sawmill-lumber,3600,0,3300,0,300,CuttingWaste,true,Two log sections produce three lumber bundles with explicit saw-cut loss.,reviewed-audit-only
v27.mass.transform.1,recipe:seasoned-filling,1850,0,1300,0,550,CuttingWaste,true,Two raw meat cuts and one washed-vegetable portion produce two seasoned-filling portions with 550 g explicit trimming and preparation waste.,reviewed-audit-only
v27.mass.transform.1,recipe:silage,590,100,690,0,0,None,true,"Three grass-and-straw sheaves, one grain measure and 0.2 clean-water units produce three silage rations without untracked physical mass loss.",reviewed-audit-only
v27.mass.transform.1,recipe:stuffed-mushroom,1150,0,1150,0,0,None,true,One seasoned-filling portion and two mushroom baskets produce two stuffed-mushroom servings without untracked physical mass loss.,reviewed-audit-only
v27.mass.transform.1,recipe:supply:inoculated-log,1400,0,1400,0,0,None,true,"One 1,150 g treated-lumber bundle and one 250 g cave-mushroom basket produce two exact 700 g inoculated cultivation-log sections.",reviewed-audit-only
v27.mass.transform.1,recipe:syrup,750,0,700,0,50,MoistureEvaporation,true,Three night-grape clusters concentrate into two bulk syrup measures with 50 g explicit moisture loss.,reviewed-audit-only
v27.mass.transform.1,recipe:twilight-beer,1000,0,950,0,50,FermentationGasLoss,true,Two fermented-liquor measures finish into two twilight-beer servings with 50 g explicit atmospheric fermentation-gas loss.,reviewed-audit-only
v27.mass.transform.1,recipe:vegetable-pie,950,0,950,0,0,None,true,One dough portion and one washed-vegetable portion produce two vegetable-pie servings without untracked physical mass loss.,reviewed-audit-only
v27.mass.transform.1,recipe:washed-vegetable,900,125,900,125,0,None,true,Two ember-root harvest bundles and 0.25 clean-water units produce two washed portions and 0.25 wastewater units without untracked loss.,reviewed-audit-only
v27.mass.transform.1,recipe:young-wine,750,0,700,0,50,FermentationGasLoss,true,Two grape-juice measures ferment into two young-wine measures with 50 g explicit atmospheric fermentation-gas loss.,reviewed-audit-only
